,friend1,friend2,weight
118,vidit.jain.127,100005931842072,0.07142857142857142
119,vidit.jain.127,anant3110,0.0
120,vidit.jain.127,Sachin.nNandal,0.14285714285714285
121,vidit.jain.127,rhythmpatelofficial,0.0
122,vidit.jain.127,100021222968954,0.14285714285714285
123,vidit.jain.127,kalra.isha,0.0
124,vidit.jain.127,shashwatrock,0.14285714285714285
125,vidit.jain.127,varinee.jain,0.14285714285714285
126,vidit.jain.127,rkr9thelaw,0.07142857142857142
127,vidit.jain.127,gandharv.mohan.98,0.14285714285714285
128,vidit.jain.127,sezal.chug,0.14285714285714285
129,vidit.jain.127,memento.l.mori,0.14285714285714285
130,vidit.jain.127,vaishalisharma12345,0.07142857142857142
131,vidit.jain.127,sujay237,0.21428571428571427
132,vidit.jain.127,dhruv.kundu.1,0.14285714285714285
133,vidit.jain.127,ChewCafe/,0.0
134,vidit.jain.127,Viya-Enterprises-405521779912060/,0.0
135,vidit.jain.127,ClashofClansINOfficial/,0.0
136,vidit.jain.127,johnmohammad.sharma.9,0.14285714285714285
137,vidit.jain.127,hvhvhv2012,0.07142857142857142
138,vidit.jain.127,amit.jaggi.50,0.14285714285714285
139,vidit.jain.127,adityaguptamumbai,0.0
140,vidit.jain.127,samarth.singhal.180,0.14285714285714285
141,vidit.jain.127,100010352118008,0.07142857142857142
142,vidit.jain.127,ritik.malik.35762,0.14285714285714285
143,vidit.jain.127,rtomar1999,0.14285714285714285
144,vidit.jain.127,aniket.pradhan.311,0.07142857142857142
145,vidit.jain.127,satvik.agarwal.982292,0.0
146,vidit.jain.127,satvik.agarwal.982292,0.0
147,vidit.jain.127,akshay.kumar.7771,0.07142857142857142
148,vidit.jain.127,singh.yashvardhan29,0.0
149,vidit.jain.127,siddharth.arya.20,0.0
150,vidit.jain.127,priya.kaushal.3956,0.07142857142857142
151,vidit.jain.127,kushagra.arora,0.07142857142857142
152,vidit.jain.127,a.gupta2710,0.07142857142857142
153,vidit.jain.127,100017754999725,0.14285714285714285
154,vidit.jain.127,archit.singh.9803,0.14285714285714285
155,vidit.jain.127,vermaarsh,0.07142857142857142
156,vidit.jain.127,varnit36,0.07142857142857142
157,vidit.jain.127,sujay237,0.21428571428571427
158,vidit.jain.127,100009490171036,0.07142857142857142
159,vidit.jain.127,dlfcyberhub/,0.0
160,vidit.jain.127,anish.bhardwaj.33,0.14285714285714285
161,vidit.jain.127,100013971825009,0.0
162,vidit.jain.127,kartikey.singh.79677,0.0
163,vidit.jain.127,tejal.mathur,0.14285714285714285
164,vidit.jain.127,100003509507158,0.0
165,vidit.jain.127,HolidayInnNewDelhi/,0.0
